Date,CHFHUF,CHF ON,HUF ON,CHFHUF 3M,HUN 5Y USD CDS,CHF 3M Libor,CHF ON Libor,EMBI,TED spread,HUF 3Y overquote,HUF 5Y overquote,HUF 3Y HUF 5Y overquote,FX tender,Swap 3M spread,CHF OIS 3M,Swap tender,Swap 3M 5Y spread
12/31/2018,285.605,-0.95,0.05,35,#N/A,-0.713,-0.798,#N/A,45.27,#N/A,#N/A,#N/A,#N/A,#N/A,-0.76,#N/A,-0.001223284
12/28/2018,285.605,-0.95,-0.27,35,90.915,-0.718,-0.81,431.53,42.64,0,0,0,0,0,-0.762,0,-0.001223269
12/27/2018,284.36,-0.95,-0.12,35,90.915,-0.723,-0.836,430.41,40.37,0,0,0,1,0.069665127,-0.77,1,-0.001228609
12/26/2018,284.57,-0.95,-0.21,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/25/2018,284.57,-0.95,-0.21,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/2018,284.57,-0.95,-0.21,41,90.915,-0.728,-0.796,430.63,44.05,0,0,0,0,0,-0.77,0,-0.001438148
12/21/2018,284.57,-0.95,-0.17,41,90.915,-0.734,-0.791,425.92,44.59,0,0,0,0,0,-0.757,0,-0.001438126
12/20/2018,284.32,-0.95,-0.07,43,90.915,-0.739,-0.795,422.76,44.49,0,0,0,0,0,-0.757,0,-0.001509586
12/19/2018,285.22,-0.95,-0.1,56,90.915,-0.732,-0.792,424.33,39.53,0,0,0,1,0.068980998,-0.758,1,-0.001959804
12/18/2018,285.635,-0.95,-0.3,54,90.915,-0.737,-0.781,418.18,40.78,0,0,0,0,0,-0.758,0,-0.001887041
12/17/2018,287.13,-0.95,-0.05,55,90.915,-0.736,-0.783,414.14,42.29,0,0,0,0,0,-0.757,0,-0.001911984
12/14/2018,287.57,-0.95,-0.28,54,90.915,-0.732,-0.777,412.84,39.16,0,0,0,0,0,-0.757,0,-0.001874367
12/13/2018,286.4,-0.95,-0.3,50,90.915,-0.737,-0.777,410.29,38.12,0,0,0,0,0,-0.758,0,-0.001742593
12/12/2018,286,-0.95,-0.3,45,90.915,-0.737,-0.777,414.27,38.67,0,0,0,1,0.069020492,-0.757,1,-0.001570528
12/11/2018,287.91,-0.95,-0.07,50,90.915,-0.74,-0.78,421.46,39.22,0,0,0,0,0,-0.758,0,-0.001733441
12/10/2018,287.57,-0.95,-0.28,52,90.915,-0.741,-0.78,425.24,40.29,0,0,0,0,0,-0.77,0,-0.001804906
12/7/2018,285.995,-0.95,0.06,40,90.915,-0.739,-0.777,423.01,38.51,0,0,0,0,0,-0.757,0,-0.001396042
12/6/2018,285.965,-0.95,-0.05,46,90.915,-0.74,-0.777,425.69,36.53,0,0.846333333,0.846333333,0,0,-0.757,0,-0.001605613
12/5/2018,285.69,-0.95,-0.05,45,90.915,-0.74,-0.779,423.305,35.87,0,0,0,1,0.069661538,-0.758,1,-0.00157222
12/4/2018,286.015,-0.95,-0.05,42,90.915,-0.739,-0.78,420.92,33.18,0,0,0,0,0,-0.758,0,-0.001465741
12/3/2018,284.765,-0.95,0.05,42,90.915,-0.741,-0.781,411.61,41.92,0,0,0,0,0,-0.757,0,-0.001472168
11/30/2018,286.34,-0.95,-0.3,52,90.915,-0.738,-0.786,419.69,39.37,0,0,0,0,0,-0.77,0,-0.001812672
11/29/2018,285.24,-0.95,-0.05,32,85.59,-0.74,-0.784,418.87,38.5,0,0,0,0,0,-0.77,0,-0.001119787
11/28/2018,286.45,-0.95,-0.1,28,85.59,-0.74,-0.788,425.52,32.77,0,0,0,1,0,-0.77,1,-0.000975675
11/27/2018,287.165,-0.95,0.05,29,85.59,-0.741,-0.783,429.91,31.67,0,0,0,0,0,-0.77,0,-0.001008002
11/26/2018,285.84,-0.95,0.05,34,85.59,-0.743,-0.785,424.61,31.33,0,0,0,0,0,-0.77,0,-0.001187267
11/23/2018,284.92,-0.95,-0.31,35,85.59,-0.745,-0.784,423.12,29.5,0,0,0,0,0,-0.77,0,-0.001226127
11/22/2018,283.38,-0.95,-0.03,30,85.59,-0.745,-0.784,421.835,29.25,0,1.141140094,1.141140094,0,0,-0.77,0,-0.001056677
11/21/2018,283.995,-1.05,-0.2,35,85.59,-0.745,-0.786,420.55,28.02,0,0,0,1,0.069560767,-0.77,1,-0.001230121
11/20/2018,284.1,-1.05,-0.3,34,85.59,-0.745,-0.788,423.5,27.4,0,0,0,0,0,-0.77,0,-0.001194533
11/19/2018,282.415,-1.05,-0.3,27,85.59,-0.743,-0.785,411.36,29.84,0,0,0,0,0,-0.77,0,-0.000954264
