,Swap 3M 5Y spread,dUSDHUF,dEURHUF,EMBI,HUN 5Y USD CDS,OIS 3M spread,EUR 3M REPO,Eurozone AAA,Volume AAA bond,HUF 3Y overquote,HUF 5Y overquote,HUF 3Y HUF 5Y overquote,Assets/lt f debt,ECB DEPOSIT ,TED spread,Swap tender,Deviza tender DUMMY,FX tender,Swap 3M spread EURHUF,Swap 3M spread HUFEUR,Swap 3M spread
1/3/2008,0.002291903,-0.003545588,-0.000986135,264.73,79.5,4.0385,3.975,0,0,0.76805,0,0.76805,10.87440517,0,142.87,0,0,0,0,0,0
1/4/2008,0.014284086,0.006442461,0.005666852,271.09,79.5,4.046,3.975,0,0,0,0,0,10.87440517,0,143.42,0,0,0,0,0,0
1/7/2008,0.018727705,0.004847935,0.001646801,269.16,79.5,4.0485,3.979,0,0,0,0,0,10.87440517,0,130.6,0,0,0,0,0,0
1/8/2008,0.025994414,-0.002247904,-0.001529082,265.4,79.5,4.0595,3.98,0,0,0,0,0,10.87440517,0,129.72,0,0,0,0,0,0
1/9/2008,0.021596218,0.000807522,-0.002435672,274.45,79.5,4.056,3.982,0,0,0,0,0,10.87440517,0,121.43,0,0,0,0,0,0
1/10/2008,0.01617972,-0.013992739,-0.004099013,266.42,79.5,4.0513,3.984,0,0,0,0,0,10.87440517,0,116.96,0,0,0,0,0,0
1/11/2008,0.010822801,0.00309408,0.001184133,270.16,79.5,4.0645,3.984,0,0,0,0,0,10.87440517,0,116.46,0,0,0,0,0,0
1/14/2008,-0.004808504,-0.008605351,-0.002448755,271.84,79.5,4.0485,3.988,0,0,0,0,0,10.87440517,0,90.05,0,0,0,0,0,0
1/15/2008,-0.047869905,0.009421059,0.00512761,277.8,79.5,4.053,3.989,0,0,0,0,0,10.87440517,0,85.17,0,0,0,0,0,0
1/16/2008,-0.004743832,0.014857053,0.004553313,277.23,79.5,4.0313,3.99,0,0,0,0,0,10.87440517,0,82.64,0,0,0,0,0,0
1/17/2008,0.01126704,0.004694307,0.004025723,286.03,79.5,4.0259,3.992,0,0,0,0.606362784,0.606362784,10.87440517,0,93.58,0,0,0,0,0,0
1/18/2008,-0.011187064,0.003022442,0.001714798,285.96,79.5,4.024,3.993,0,0,0,0,0,10.87440517,0,104.86,0,0,0,0,0,0
1/21/2008,-0.005629712,0.022854921,0.011306118,285.96,79.5,3.981,3.994,0,0,0,0,0,10.87440517,0,100.25,0,0,0,0,0,0
1/22/2008,-0.03194456,-0.021773625,-0.009866401,303.52,79.5,3.9333,3.994,0,0,0,0,0,10.87440517,0,144.86,0,0,0,0,0,0
1/23/2008,-0.016541828,0.003973666,0.00395825,309.04,79.5,3.9234,3.994,0,0,0,0,0,10.87440517,0,113.35,0,0,0,0,0,0
1/24/2008,-0.013222588,-0.013517959,-0.004891884,285.63,79.5,3.9938,3.994,0,0,0,0,0,10.87440517,0,88.17,0,0,0,0,0,0
1/25/2008,-0.008182359,0.009146057,0.004039468,290.79,79.5,3.9749,3.994,0,0,0,0,0,10.87440517,0,105.77,0,0,0,0,0,0
1/28/2008,-0.030001032,-0.00530596,0.001549307,290,79.5,3.9938,3.992,0,0,0,0,0,10.87440517,0,100.28,0,0,0,0,0,0
1/29/2008,-0.021571698,-0.001832236,-0.002169703,285,79.5,4.0035,3.993,0,0,0,0,0,10.87440517,0,96.36,0,0,0,0,0,0
1/30/2008,-0.071939105,-0.004480191,0.001317881,277.85,79.5,3.9838,3.993,0,0,0,0,0,10.87440517,0,109.3,0,0,0,0,0,0
1/31/2008,-0.027874572,0,-3.87E-05,287.53,79.5,3.9738,3.993,0,0,0,0,0,10.87440517,1123.6,117.1,0,0,0,0,0,0
2/1/2008,-0.011266745,0.001035673,-0.002909516,290.57,79.5,4.005,3.993,0,0,0,0,0,10.87440517,0,101.07,0,0,0,0,0,0
2/4/2008,-0.009608482,-0.003398719,-0.00155521,284.95,79.5,3.9935,3.994,0,0,0,0,0,10.87440517,0,92.73,0,0,0,0,0,0
2/5/2008,0.016763492,0.022254841,0.010027378,294.05,79.5,3.9629,3.995,0,0,0,0,0,10.87440517,0,100.51,0,0,0,0,0,0
2/6/2008,-0.000299234,0.02038892,0.019115788,294.17,79.5,3.9725,3.996,0,0,0,0,0,10.87440517,0,104.28,0,0,0,0,0,0
2/7/2008,-0.03731948,0.004138508,-0.005837109,285.22,79.5,3.9354,3.996,0,0,0,0,0,10.87440517,0,90.89,0,0,0,0,0,0
2/8/2008,-0.052030446,0.011551961,0.012992101,298.85,79.5,3.9087,3.996,0,0,0,0,0,10.87440517,0,87.03,0,0,0,0,0,0
