"","ADF","KPSS"
"TED.spread",-14.228567912331,0.0938475894482311
"HUF.3Y.overquote",-13.5411182393779,0.190964861168953
"HUF.5Y.overquote",-13.6005578106205,0.612434694450701
"HUF.3Y.HUF.5Y.overquote",-13.1018799563813,0.343727661366561
"Swap.3M.spread",-13.0989622059637,0.0764978862947828
"Swap.3M.5Y.spread",-14.0654689202571,0.305966077214231
"CHFHUF",-13.8032313524884,0.208609462671201
"CHF.ON",-15.1243806273689,0.486034409741556
"HUF.ON",-13.62941065637,0.121848868069917
"CHFHUF.3M",-12.5964081710353,0.850409734661163
"HUN.5Y.USD.CDS",-12.7776219211974,0.109886296647779
"CHF.3M.Libor",-12.2582849777651,0.103694638099363
"CHF.ON.Libor",-11.8054059724402,0.0487903323168591
"EMBI",-12.0136846731806,0.0817037689928478
"FX.tender",-13.7247010147697,0.0339465403256603
"CHF.OIS.3M",-12.6074767146991,0.167200701085959
"Swap.tender",-14.1751262865854,0.0453614835137715
