"","ADF","KPSS"
"Swap.3M.5Y.spread",-13.6500978350992,0.200629022444495
"dUSDHUF",-13.2737522737487,0.0934091459143531
"dEURHUF",-13.823858532516,0.0487188790840814
"OIS.3M.spread",-15.6790640599751,0.244264746733148
"EUR.3M.REPO",-17.0081799967212,0.0752388779539869
"Eurozone.AAA",-13.9406840543043,0.0422182652870566
"Volume.AAA.bond",-14.4859752522848,0.09527240294725
"HUF.3Y.overquote",-12.8743226290443,0.17377123082614
"HUF.5Y.overquote",-13.6483926910898,0.317767001771622
"HUF.3Y.HUF.5Y.overquote",-13.0797266117161,0.0918536248391693
"Assets.lt.f.debt",-12.9892389626495,0.642076274991223
"ECB.DEPOSIT",-12.8218688290321,0.0231695174707865
"TED.spread",-14.4866596484492,1.24081684324649
"Deviza.tender.DUMMY",-14.0466889736573,0.0427690086331582
"Swap.3M.spread.EURHUF",-12.9910561695722,0.107074120938635
"Swap.3M.spread.HUFEUR",-13.7804448344361,0.281194273685977
"Swap.3M.spread",-12.95885522843,0.0593430069417832
"EMBI",-13.5787477683747,0.185760991782116
"HUN.5Y.USD.CDS",-14.3323276362234,0.0755385405860801
"Swap.tender",-14.3019249446197,0.0393801818947047
"FX.tender",-13.258184411595,0.0218413199523325
