"","ADF","KPSS"
"Swap.3M.5Y.spread",-11.7194867344032,1.01116441849761
"dUSDHUF",-13.1682985198221,0.0876840143634717
"OIS.3M.spread",-15.6064724744306,0.100708104284147
"FED.funds.rate",-14.4365523447611,0.121243884357441
"TED.spread",-14.8709423009733,1.40596952425644
"ON.deposit.rate",-16.859425724167,0.0762593538341773
"US.AAA.10Y.spread",-13.0264039162709,0.591233275195567
"HUF.3Y.overquote",-12.8927414624185,0.225232671540608
"HUF.5Y.overquote",-13.7505919139527,0.33206925672259
"HUF.3Y.HUF.5Y.overquote",-12.9918646140771,0.0852775057489584
"Assets.lt.f.debt",-13.072405103598,0.668915310344044
"Swap.tender.DUMMY",-14.2409405804608,0.756934840824804
"FX.tender.DUMMY",-14.0492642107669,0.0580332084919297
"Swap.3M.spread.EURHUF",-12.8563860337581,0.0993551180527349
"Swap.3M.spread.HUFEUR",-13.8367029015323,0.281976018720439
"Swap.3M.spread",-12.8174396121726,0.054938059155716
"HUN.5Y.USD.CDS",-14.3801807045934,0.0746677254972247
"EMBI",-13.5435973823809,0.183751295630435
"FX.tender",-12.9889839352336,0.0214631178634448
